WORDS,FREQ
present,6.0
presentation,4.0
pressure,4.0
pretend,2.0
problem,1.0
process,1.0
processing,4.0
product,6.0
productivity,2.0
profession,4.0
professional,9.0
program,4.0
programme,4.0
progress,21.0
project,78.0
promising,4.0
prosperity,5.0
provide,6.0
public,3.0
punctuality,6.0
pursue,6.0
pursuit,4.0
put,4.0
qualify,2.0
quality,12.0
quantitative,2.0
question,16.0
r,6.0
ral,2.0
rank,8.0
raphael,6.0
reach,2.0
read,4.0
ready,3.0
real,5.0
realise,4.0
realize,2.0
recamier,2.0
recent,4.0
recently,4.0
recognition,4.0
recommend,8.0
record,7.0
recruiting,2.0
recruitment,2.0
refer,2.0
reference,6.0
regard,10.0
reinforce,4.0
remain,4.0
remarkable,4.0
rental,2.0
represent,5.0
reputation,1.0
require,5.0
required,1.0
research,32.0
respect,2.0
respective,4.0
responsibility,4.0
result,3.0
resume,2.0
review,6.0
rewarding,4.0
right,4.0
risk,2.0
rnns,2.0
role,11.0
rue,4.0
sabbatical,2.0
sad,8.0
sale,6.0
save,5.0
say,2.0
scenario,6.0
school,33.0
science,18.0
scientific,4.0
scientist,2.0
score,4.0
search,1.0
secondary,22.0
section,7.0
secure,2.0
seek,6.0
selective,4.0
self,2.0
senior,16.0
sentiment,13.0
september,9.0
series,2.0
service,6.0
session,6.0
set,2.0
setting,1.0
share,6.0
short,2.0
show,4.0
showcase,2.0
shrivastava,1.0
side,7.0
since,25.0
sincerely,8.0
singh,6.0
sir,6.0
sit,2.0
sitaram,1.0
situation,2.0
six,4.0
sixth,2.0
sketch,5.0
skill,34.0
social,2.0
societe,4.0
solution,12.0
sound,3.0
space,2.0
speak,17.0
speaker,2.0
speaking,1.0
special,2.0
specific,5.0
sql,2.0
staff,5.0
stage,2.0
standard,4.0
start,4.0
state,2.0
statement,1.0
statistic,6.0
status,6.0
step,4.0
stimulating,2.0
strasbourg,2.0
strength,6.0
strengthen,4.0
strong,4.0
strongly,2.0
student,29.0
study,27.0
subjective,1.0
submit,1.0
successful,5.0
suggestion,2.0
summary,4.0
summer,13.0
support,1.0
svm,2.0
switzerland,2.0
synergy,4.0
synonymous,2.0
system,16.0
tackle,2.0
take,40.0
talented,4.0
task,8.0
taste,4.0
tc,10.0
teach,13.0
team,56.0
teammate,5.0
teamwork,5.0
technical,9.0
technicality,4.0
technique,3.0
technology,47.0
telecom,9.0
tensorflow,2.0
term,4.0
test,1.0
text,11.0
thank,4.0
thanks,4.0
theory,2.0
therefore,8.0
thing,3.0
think,10.0
thouly,4.0
thousand,1.0
three,6.0
thrill,4.0
thrive,1.0
throughout,4.0
thus,6.0
ticket,1.0
time,42.0
today,9.0
together,1.0
tongue,6.0
tool,2.0
top,17.0
topic,3.0
tourism,2.0
toward,5.0
towards,2.0
trade,4.0
trading,12.0
training,28.0
transaction,4.0
transit,2.0
travel,4.0
true,6.0
u,7.0
ujjain,25.0
unanswered,2.0
understand,1.0
united,2.0
unity,3.0
university,14.0
unmarried,6.0
upon,2.0
use,19.0
utmost,4.0
v,2.0
valuable,4.0
value,8.0
various,6.0
vast,2.0
vaudoise,4.0
veamly,2.0
vehicle,6.0
video,8.0
vidyalaya,2.0
vihar,1.0
vimal,1.0
violin,4.0
virtual,1.0
vision,10.0
visit,10.0
visual,1.0
vivadata,2.0
voc,1.0
voice,6.0
w8681633,5.0
wanago,2.0
want,2.0
watching,1.0
wav,1.0
way,8.0
web,2.0
website,6.0
welcome,2.0
well,18.0
whether,1.0
wide,1.0
willing,4.0
word,2.0
work,72.0
working,2.0
workshop,3.0
would,18.0
write,4.0
writing,1.0
www,7.0
year,14.0
york,4.0
young,4.0
